symbol,market,name,as_of,market_cap,market_cap_unit,pe_ttm,pb,ps_ttm,ev_ebitda,pe_percentile_3y,pe_percentile_5y,peer_group,source
002028.SZ,CN_A,思源电气,20260602,16139620.5311,CNY 10k yuan,49.6055,10.0137,7.0537,,,,data_center_power_equipment_cn,Tushare pro.daily_basic
688676.SH,CN_A,金盘科技,20260602,4425424.5035,CNY 10k yuan,66.5755,9.1127,5.9202,,,,data_center_power_equipment_cn,Tushare pro.daily_basic
301291.SZ,CN_A,明阳电气,20260602,1711479.7889,CNY 10k yuan,34.1861,3.3227,2.6064,,,,data_center_power_equipment_cn,Tushare pro.daily_basic
002922.SZ,CN_A,伊戈尔,20260602,1698783.3545,CNY 10k yuan,74.8698,4.487,3.1138,,,,data_center_power_equipment_cn,Tushare pro.daily_basic
002518.SZ,CN_A,科士达,20260602,3024659.3633,CNY 10k yuan,47.373,6.4167,5.4331,,,,data_center_power_equipment_cn,Tushare pro.daily_basic
002335.SZ,CN_A,科华数据,20260602,3053673.5669,CNY 10k yuan,71.5058,4.9009,3.6466,,,,data_center_power_equipment_cn,Tushare pro.daily_basic
600312.SH,CN_A,平高电气,20260602,2799328.6605,CNY 10k yuan,23.7981,2.3992,2.2473,,,,data_center_power_equipment_cn,Tushare pro.daily_basic
601179.SH,CN_A,中国西电,20260602,8478209.4102,CNY 10k yuan,64.1612,3.6304,3.5292,,,,data_center_power_equipment_cn,Tushare pro.daily_basic
000400.SZ,CN_A,许继电气,20260602,2703423.4488,CNY 10k yuan,25.2497,2.2028,1.7997,,,,data_center_power_equipment_cn,Tushare pro.daily_basic
600089.SH,CN_A,特变电工,20260602,13197894.1955,CNY 10k yuan,21.3951,1.8342,1.3356,,,,data_center_power_equipment_cn,Tushare pro.daily_basic
300693.SZ,CN_A,盛弘股份,20260602,1576803.7437,CNY 10k yuan,32.2848,7.5227,4.3768,,,,data_center_power_equipment_cn,Tushare pro.daily_basic
002851.SZ,CN_A,麦格米特,20260602,8605180.2236,CNY 10k yuan,561.754,9.5925,8.7148,,,,data_center_power_equipment_cn,Tushare pro.daily_basic
